Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
AAOI,Common Stock,Applied Optoelectronics Inc,"Applied Optoelectronics, Inc. designs, manufactures, and sells various fiber optic networking products globally. The company is headquartered in Sugar Land, Texas.",1158114,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"13115 JESS PIRTLE BLVD, SUGAR LAND, TX, US",December,2021-12-31,73782000,-20207000,None,0.51,9.32,0,0,-2.013,7.86,-0.256,-0.268,-0.0759,-0.203,211565000,37715000,-2.013,0,0.04,16.04,-,84.03,0.349,0.307,0.914,-,1.666,9.25,2.48,3.411,5.58,27530500,None,None
AAPL,Common Stock,Apple Inc,"Apple Inc. is an American multinational technology company that specializes in consumer electronics, computer software, and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and, since January 2021, the world's most valuable company. As of 2021, Apple is the world's fourth-largest PC vendor by unit sales, and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies, along with Amazon, Google, Microsoft, and Facebook.",320193,NASDAQ,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE INFINITE LOOP, CUPERTINO, CA, US",September,2021-12-31,2555128578000,128217997000,26.03,3.111,4.402,0.865,0.0054,6.01,22.84,0.266,0.309,0.199,1.456,378323010000,152836000000,6.01,0.25,0.112,192.89,26.03,26.81,6.75,36.71,7.13,20.62,1.188,182.71,121.73,166.32,159.18,16319400000,2022-02-10,2022-02-04
ABM,Common Stock,ABM Industries Incorporated,"ABM Industries Incorporated provides integrated facility solutions in the United States and internationally. The company is headquartered in New York, New York.",771497,NYSE,USD,USA,TRADE & SERVICES,SERVICES-TO DWELLINGS & OTHER BUILDINGS,"551 FIFTH AVENUE, SUITE 300, NEW YORK, NY, US",October,2022-01-31,3230446000,469700000,25.74,4.45,24.54,0.765,0.0163,1.877,98.74,0.0191,0.0561,0.0565,0.0792,6672400000,1022300000,1.877,0.009,0.297,59,25.74,-,0.484,2.163,0.702,15.62,1.216,54,38.1,46.3,45.4,66869000,2022-05-02,2022-04-06
ACEV,Common Stock,ACE Convergence Acquisition Corp,"ACE Convergence Acquisition Corp. The company is headquartered in Wilmington, Delaware.",1813658,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"1013 CENTRE ROAD, SUITE 403S, WILMINGTON, DE, US",December,2021-12-31,140779000,None,49.7,None,0.174,0,0,0.203,0,0,0,-0.0188,0,0,0,0.203,8.27,0,None,49.7,-,-,0.695,-,-,None,10.37,9.82,10.05,9.96,8202300,None,None
ACEVU,Common Stock,ACE Convergence Acquisition Corp,"ACE Convergence Acquisition Corp. The company is headquartered in Wilmington, Delaware.",1813658,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"1013 CENTRE ROAD, SUITE 403S, WILMINGTON, DE, US",December,2021-12-31,286350000,None,51.33,None,0.174,0,0,0.203,0,0,0,-0.0188,0,0,0,0.203,8.27,0,None,51.33,-,-,-,-,-,None,12.24,9.45,10.22,10.29,0,None,None
ACEVW,Common Stock,ACE Convergence Acquisition Corp,"ACE Convergence Acquisition Corp. The company is headquartered in Wilmington, Delaware.",1813658,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"1013 CENTRE ROAD, SUITE 403S, WILMINGTON, DE, US",December,2021-12-31,286925000,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,None,-,-,-,-,-,-,None,2.4,0.4,0,0,0,None,None
ACIW,Common Stock,ACI Worldwide Inc,"ACI Worldwide, Inc., a software company, develops, markets, installs and supports a variety of software products and solutions to facilitate electronic payments to banks, financial intermediaries, merchants and invoice issuers globally. The company is headquartered in Naples, Florida.",935036,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"3520 KRAFT ROAD, SUITE 300, NAPLES, FL, US",December,2021-12-31,3093581000,281190000,24.91,-3.24,10.76,0,0,1.08,11.67,0.0932,0.163,0.0426,0.104,1370598000,731727000,1.08,0.656,0.206,41.6,24.91,22.17,2.257,2.619,3.107,11.7,1.079,40.31,25.93,31.06,32.26,115003000,None,None
ACLS,Common Stock,Axcelis Technologies Inc,"Axcelis Technologies, Inc. designs, manufactures and services the ion implantation and other processing equipment used in the manufacture of semiconductor chips in the United States, Europe and Asia. The company is headquartered in Beverly, Massachusetts.",1113232,NASDAQ,USD,USA,TECHNOLOGY,"SPECIAL INDUSTRY MACHINERY, NEC","108 CHERRY HILL DRIVE, BEVERLY, MA, US",December,2021-12-31,1777918000,132843000,18.6,1.23,16.21,0,0,2.88,19.74,0.149,0.192,0.116,0.193,662428000,286445000,2.88,1.513,0.683,84.67,18.6,12.97,2.684,3.376,2.373,11.55,1.557,83.74,33.36,66.85,57.79,33182500,None,None
ACMR,Common Stock,ACM Research Inc,"ACM Research, Inc. develops, manufactures and sells single wafer wet cleaning equipment to improve the manufacturing process and performance of embedded chips globally. The company is headquartered in Fremont, California.",1680062,NASDAQ,USD,USA,TECHNOLOGY,"SPECIAL INDUSTRY MACHINERY, NEC","42307 OSGOOD ROAD, SUITE I, FREMONT, CA, US",December,2021-12-31,920847000,41055000,25.54,None,11.52,0,0,0.576,4.505,0.145,0.149,0.0347,0.0842,259751000,114856000,0.576,0.764,1.088,39.8,25.54,29.59,3.545,1.369,1.433,8.06,0.553,39.71,14.07,21.68,28.16,53650000,None,None
ACN,Common Stock,Accenture plc,"Accenture plc is an Irish-domiciled multinational company that provides consulting and processing services. It has been incorporated in Dublin, Ireland since 2009.",1467373,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1 GRAND CANAL SQUARE, GRAND CANAL HARBOUR, DUBLIN, IE",August,2022-02-28,192137822000,9511400000,30.55,2.319,32.46,3.79,0.0122,9.92,89.46,0.113,0.151,0.127,0.324,56694923000,16364128000,9.92,0.139,0.245,380.96,30.55,28.74,3.389,9.57,3.438,18.52,1.235,415.05,273.76,322.92,342.3,633401000,2022-05-13,2022-04-13
ACON,Common Stock,Aclarion Inc,None,1635077,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,18303800,None,None,None,None,0,0,-6.58,0.067,0,-48.98,-1.16,0,60290,-8883,-6.58,0,0.201,None,-,-,303.59,-,349.62,-,None,4.35,2.1,2.515,2.515,7822200,None,None
ACONW,Common Stock,Aclarion Inc,None,None,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,None,None,None,None,None,0,0,-6.58,0.067,0,-48.98,-1.16,0,60290,0,-6.58,0,0.201,None,-,-,-,-,-,-,None,0.82,0.391,0,0,0,None,None
ACVA,Common Stock,ACV Auctions Inc,"ACV Auctions, Inc., operates a digital marketplace that connects buyers and sellers for online wholesale vehicle auctions. The company is headquartered in Buffalo, New York.",1637873,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","640 ELLICOTT STREET, BUFFALO, NY, US",December,2021-12-31,2211176000,None,None,None,3.563,0,0,-0.624,2.86,-0.218,-0.21,-0.0678,-0.2,358435000,52626000,-0.624,0,0.863,26.23,-,1250,6.17,3.847,4.364,-,None,34.99,10.3,13.68,17.72,108240000,None,None
ADBE,Common Stock,Adobe Inc,"Adobe Inc. is an American multinational computer software company. Incorporated in Delaware and headquartered in San Jose, California, it has historically specialized in software for the creation and publication of a wide range of content, including graphics, photography, illustration, animation, multimedia, motion pictures and print. The company has expanded into digital marketing management software. Adobe has millions of users worldwide. Flagship products include: Photoshop image editing software, Adobe Illustrator vector-based illustration software, Adobe Acrobat Reader and the Portable Document Format (PDF), plus a host of tools primarily for audio-visual content creation, editing and publishing.",796343,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"345 PARK AVE, SAN JOSE, CA, US",November,2022-02-28,188007743000,6521000000,39.52,1.766,29.18,0,0,10.07,33.93,0.299,0.367,0.145,0.353,16142000000,13920000000,10.07,0.019,0.091,563.7,39.52,29.76,11.65,14.02,11.96,28.68,1.048,699.54,396.81,442.55,565.44,472500000,None,2005-03-24
ADI,Common Stock,Analog Devices Inc,"Analog Devices, Inc. (ADI), also known simply as Analog, is an American multinational semiconductor company specializing in data conversion, signal processing and power management technology, headquartered in Wilmington, Massachusetts.",6281,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"ONE TECHNOLOGY WAY, NORWOOD, MA, US",October,2022-01-31,79397356000,3448052000,52.16,1.734,71.52,2.83,0.0199,2.909,19.35,0.152,0.237,0.0345,0.0518,8444121000,4525012000,2.909,-0.49,0.722,204.29,52.16,18.76,9.4,2.171,10.15,30.04,1.096,190.29,141.62,159.06,168.2,523315000,2022-03-08,2022-02-24
ADSK,Common Stock,Autodesk Inc,"Autodesk, Inc. is an American multinational software corporation that makes software products and services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Rafael, California.",769397,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"111 MCINNIS PKWY, SAN RAFAEL, CA, US",January,2022-01-31,39217574000,826100000,80.57,1.637,3.891,0,0,2.24,19.96,0.113,0.169,0.0584,0.548,4386400000,4021400000,2.24,-0.901,0.166,285.34,80.57,27.7,8.94,47.94,9.57,54.0,1.442,344.39,180.19,207.32,268.77,217308000,None,2005-03-22
ADTH,Common Stock,AdTheorent Holding Company Inc,None,1838672,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","311 SOUTH WACKER DRIVE, SUITE 6400, CHICAGO, IL, US",December,2021-12-31,762264000,13715000,22.79,None,1.321,0,0,0.39,2.733,0.159,0.0316,0.0193,0.294,165365000,165365000,0.39,3.044,0.168,10.58,22.79,81.97,4.61,6.81,4.315,17.98,None,11.9,4.106,8.69,8.85,85744000,None,None
ADTHW,Common Stock,AdTheorent Holding Company Inc,None,1838672,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","311 SOUTH WACKER DRIVE, SUITE 6400, CHICAGO, IL, US",December,2021-12-31,None,34974000,3.033,None,1.586,None,None,0.31,3.622,0.0908,0.169,0,0,157473000,0,0.31,0.481,0.363,None,3.033,-,-,-,-,-,None,1.8,0.5,0,0,0,None,None
ADV,Common Stock,Advantage Solutions Inc,"Advantage Solutions Inc. provides outsourced solutions to retail and consumer goods companies in North America and internationally. The company is headquartered in Irvine, California.",1776661,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","999 VANDERBILT BEACH ROAD, SUITE 601, NAPLES, FL, US",December,2021-12-31,1647943000,508527000,30.41,None,7.83,0,0,0.17,11.32,0.0151,0.0745,0.0289,0.0226,3602298000,638175000,0.17,-0.603,0.214,7,30.41,-,0.458,0.667,0.999,7.67,0.818,13.16,5.06,6.37,7.89,318751000,None,None
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AER,Common Stock,AerCap Holdings N.V,"AerCap Holdings NV is engaged in the leasing, financing, sale and management of commercial aircraft and engines in mainland China, Hong Kong, Macau, the United States, Ireland and internationally. The company is headquartered in Dublin, Ireland.",1378789,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC","AERCAP HOUSE, 65 ST. STEPHEN'S GREEN, DUBLIN, IE",December,2021-12-31,11531111000,2104814000,6.45,0.91,76.91,0,0,7.28,32.65,0.225,0.499,0.0303,0.101,4178366000,2524721000,7.28,-0.178,-0.014,73.86,6.45,9.04,2.76,0.743,13.28,14.81,2.288,71.38,43.75,53.73,58.02,245395000,None,None
AEYE,Common Stock,AudioEye Inc,"AudioEye, Inc. provides Internet, printing, streaming, and other media software solutions to individuals regardless of their network connection, device, location, or disabilities in the United States. The company is headquartered in Tucson, Arizona.",1362190,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"5210 E. WILLIAMS CIRCLE, FIFTH FLOOR, TUCSON, AZ, US",December,2021-12-31,49328300,-6043775,None,0,1.539,0,0,-1.293,2.219,-0.58,-0.547,-0.352,-1.126,24503000,18382000,-1.293,0,0.161,10.25,-,-,2.013,3.315,1.646,-,1.991,26.15,4.25,5.96,8.8,11471700,2018-08-08,None
AFRM,Common Stock,Affirm Holdings Inc,"Affirm Holdings, Inc. operates a platform for digital and mobile commerce in the United States and Canada. The company is headquartered in San Francisco, California.",1820953,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","650 CALIFORNIA STREET, SAN FRANCISCO, CA, US",June,2021-12-31,8985363000,None,None,None,8.72,0,0,-3.317,4.298,-0.772,-0.596,-0.0867,-0.503,1122841000,431419000,-3.317,0,0.769,62.93,-,-,8.0,3.591,8.81,-,None,176.65,26.02,38.37,84.79,223766000,None,None
AGIL,Common Stock,AgileThought Inc,None,1790625,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,"C/O MAPLES CORPORATE SERVICES LIMITED, PO BOX 309, UGLAND HOUSE, GRAND CAYMAN, KY",December,2021-12-31,245805000,5861000,None,None,1.829,0,0,-16.3,119.08,-0.137,-0.0828,0,0,151047000,50522000,-16.3,0,0.008,None,-,-,1.627,2.525,1.856,42.2,-0.13,23.53,3.95,4.829,7.92,50473000,None,None
AGILW,Common Stock,AgileThought Inc,None,1790625,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,"C/O MAPLES CORPORATE SERVICES LIMITED, PO BOX 309, UGLAND HOUSE, GRAND CAYMAN, KY",December,2021-12-31,None,5861000,None,None,33.43,None,None,-42.75,315.88,-0.135,-0.0069,0,0,150741000,0,-42.75,0,-0.089,None,-,-,-,-,-,-,None,1.9,0.248,0,0,0,None,None
AGMH,Common Stock,AGM Group Holdings Inc,"AGM Group Holdings Inc. is a software company in the People's Republic of China. The company is headquartered in Wan Chai, Hong Kong.",1705402,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,"ROOM 1502-3 15/F., CONNUAGHT COMMERCIAL, BUILDING, 185 WANCHAI ROAD, WANCHAI, HONG KONG",December,2021-09-30,56029000,-3326114,None,None,0.155,0,0,-0.019,0.249,-0.0745,-0.0633,-0.062,-0.15,5349500,14770,-0.019,0,169.69,None,-,-,10.47,16.17,10.29,-,0.854,17.14,1.38,1.875,6.15,24254800,None,None
AGYS,Common Stock,Agilysys Inc,"Agilysys, Inc. is a developer and marketer of hardware and software products and services for the hospitality industry in North America, Europe, Asia-Pacific and India. The company is headquartered in Alpharetta, Georgia.",78749,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,"1000 WINDWARD CONCOURSE, SUITE 250, ALPHARETTA, GE",March,2021-12-31,880818000,6161000,None,-2.19,3.775,0,0,-0.902,6.32,-0.13,-0.121,-0.0591,-0.162,152414000,89376000,-0.902,-0.909,0.076,51,-,-,5.78,9.77,5.47,62.34,1.364,59.6,33.63,39.84,46.3,24714300,2009-08-03,2009-07-16
AI,Common Stock,C3.ai Inc,C3. ,1577526,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"1300 SEAPORT BLVD, SUITE 500, REDWOOD CITY, CA, UNITED STATES",April,2022-01-31,1813642000,None,None,None,9.66,0,0,-1.614,2.379,-0.678,-0.703,-0.0862,-0.15,232726000,138698000,-1.614,0,0.421,34.78,-,-,7.79,1.849,4.011,-,None,76.85,16.59,21.06,36.15,102872000,None,None
AIP,Common Stock,Arteris Inc. Common Stock,None,1667011,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"595 MILLICH DR., SUITE 200, CAMPBELL, CA, US",December,2021-12-31,436839000,None,None,None,1.678,0,0,-1.064,1.723,-0.618,-0.575,-0.167,-1.003,37864000,34133000,-1.064,0,-0.209,27.6,-,-,11.54,8.6,9.86,-,None,27.57,11.18,14.07,17.6,31609200,None,None
AIRG,Common Stock,Airgain Inc,None,1272842,NASDAQ,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"3611 VALLEY CENTRE DRIVE, SUITE 150, SAN DIEGO, CA, US",December,2021-12-31,83843000,4785400,None,0.762,4.375,0,0,-1.01,6.42,-0.157,-0.157,-0.104,-0.22,64273000,24607000,-1.01,-0.999,0.102,15,-,26.67,1.304,1.822,1.074,157.07,1.129,24.48,6.79,8.18,11.26,10187500,None,None
AL,Common Stock,Air Lease Corporation,"Air Lease Corporation, an aircraft leasing company, is engaged in the purchase and leasing of new commercial jet aircraft to airlines around the world. The company is headquartered in Los Angeles, California.",1487712,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC","2000 AVENUE OF THE STARS, SUITE 1000-N, LOS ANGELES, CA, US",December,2021-12-31,4669357000,1872506000,11.45,0.91,61.48,0.69,0.0178,3.57,18.31,0.209,0.505,0.0253,0.0668,2088389000,1205827000,3.57,0.34,0.221,55,11.45,9.33,2.236,0.723,10.06,14.25,1.97,50.54,33.26,42.14,42.1,114249000,2022-04-07,2022-03-17
ALF,Common Stock,Alfi Inc,"Alfi, Inc. provides interactive intelligent artificial intelligence and machine learning software solutions. The company is headquartered in Miami Beach, Florida.",1833908,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","429 LENOX AVENUE, SUITE 547, MIAMI BEACH, DC, US",December,2021-06-30,24099700,None,None,None,1.641,0,0,-2.062,0.003,0,-618.16,0,0,18390,-331110,-2.062,0,0,None,-,-,1310.76,0.928,1775.05,-,None,22.5,1.37,1.69,4.516,16174300,None,None
ALFIW,Common Stock,Alfi Inc,None,1833908,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","429 LENOX AVENUE, SUITE 547, MIAMI BEACH, DC, US",December,2021-06-30,201266000,None,None,None,None,None,None,None,0,0,0,-0.422,0,0,0,0,0,0,None,-,-,-,-,-,-,None,16.34,0.29,0,0,0,None,None
ALGM,Common Stock,Allegro MicroSystems Inc,"Allegro MicroSystems, Inc. designs, develops, manufactures and markets sensor integrated circuits (ICs) and analog power ICs for specific applications for motion control and energy efficient systems. The company is headquartered in Manchester, New Hampshire.",866291,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"955 PERIMETER ROAD, MANCHESTER, NH, US",March,2021-12-31,4666290000,234690000,44.41,None,3.66,0,0,0.538,3.921,0.138,0.251,0.149,0.161,743489000,294316000,0.538,-0.823,0.135,39,44.41,24.15,6.28,6.58,5.86,24.36,None,38.28,22.05,26.87,29.87,189914000,None,None
ALIT,Common Stock,Alight Inc,"Alight Inc. provides integrated cloud-based human capital solutions that enable its clients and employees to manage health, wealth and human resource needs. The company is headquartered in Lincolnshire, Illinois.",1809104,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,"1701 VILLAGE CENTER CIRCLE, LAS VEGAS, NV, US",December,2021-12-31,5416934000,452000000,135.61,None,8.92,0,0,0.066,5.46,0.0121,0.0541,0.0087,0.0024,1554000000,553000000,0.066,0,0,15.33,135.61,15.34,3.486,1.153,2.734,15.96,0.707,13.34,8.39,9.55,10.33,465225000,None,None
ALKT,Common Stock,Alkami Technology Inc,"Alkami Technology, Inc. offers a cloud-based digital banking platform to serve banks and credit unions in the United States. The company is headquartered in Plano, Texas.",1529274,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"5601 GRANITE PARKWAY, SUITE 120, PLANO, TX, US",December,2021-12-31,1131775000,None,None,None,3.831,0,0,-0.73,2.359,-0.308,-0.262,-0.0728,-0.179,152159000,83807000,-0.73,0,0.273,25.2,-,-,7.44,3.114,5.19,-,None,48.17,11.6,13.94,22.2,90470000,None,None
ALOT,Common Stock,AstroNova Inc,"AstroNova, Inc. designs, develops, manufactures, and distributes specialty printers and data acquisition and analysis systems in the United States, Europe, Asia, Canada, Central and South America, and internationally. ",8146,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","600 E GREENWICH AVENUE, WEST WARWICK, RI, US",January,2022-01-31,92996000,7012000,11.56,0,11.36,0,0,1.1,16.34,0.0685,0.0216,0.0138,0.103,117218000,41360000,1.1,2279.28,0.03,26,11.56,-,0.793,1.177,0.854,8.57,0.721,18.52,11.8,14.41,15.07,7315200,2020-04-02,2020-03-25
ALRM,Common Stock,Alarm.com Holdings Inc,"Alarm.com Holdings, Inc. offers cloud-based solutions for smart residential and commercial properties in the United States and internationally. The company is headquartered in Tysons, Virginia.",1459200,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"8150 LEESBURG PIKE, VIENNA, VA, US",December,2021-12-31,3084626000,99645000,60.98,1.612,12.2,0,0,1.01,15.02,0.0698,0.0989,0.0472,0.0927,748969000,443070000,1.01,-0.425,0.179,90,60.98,32.26,4.12,4.938,3.719,29.96,1.22,94.45,57.88,65.23,76.83,50087000,None,None
ALTG,Common Stock,Alta Equipment Group Inc,"Alta Equipment Group Inc. owns and operates integrated equipment distribution platforms in the United States. The company is headquartered in Livonia, Michigan.",1759824,NYSE,USD,USA,TRADE & SERVICES,WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT,"13211 MERRIMAN ROAD, LIVONIA, MI, US",December,2021-12-31,367001000,83000000,None,None,4.199,0,0,-0.811,36.72,-0.0205,0.008,0.0077,-0.186,1136900000,214500000,-0.811,0,0.337,20.33,-,-,0.323,2.758,0.865,10.22,1.799,17.38,11.27,12.32,13.53,32363400,None,None
ALTR,Common Stock,Altair Engineering Inc,"Altair Engineering Inc. provides software and cloud solutions in the areas of simulation, high-performance computing, data analysis, and artificial intelligence globally. The company is headquartered in Troy, Michigan.",1701732,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"1820 E. BIG BEAVER ROAD, TROY, MI, US",December,2021-12-31,4276484000,43036000,None,0,7.74,0,0,-0.12,6.99,-0.0165,0.0327,0.0109,-0.0177,532179000,403538000,-0.12,1.25,0.055,84.17,-,71.94,8.04,7.2,7.96,113.22,1.516,82.96,53.44,61.74,68.95,51907000,None,None
AMBA,Common Stock,Ambarella Inc,"Ambarella, Inc. develops semiconductor video solutions that enable high definition (HD) and ultra HD compression, image processing, and deep neural network processing globally. The company is headquartered in Santa Clara, California.",1280263,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3101 JAY STREET, SANTA CLARA, CA, US",January,2022-01-31,3097373000,-48342000,None,3.337,14.67,0,0,-0.722,9.07,-0.0796,-0.0779,-0.0263,-0.0517,331856000,209035000,-0.722,0,0.452,166.19,-,50,9.33,5.82,9.11,-,1.19,227.59,79.11,101.22,139.7,38065300,None,None
AMD,Common Stock,Advanced Micro Devices Inc,"Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Santa Clara, California, that develops computer processors and related technologies for business and consumer markets. AMD's main products include microprocessors, motherboard chipsets, embedded processors and graphics processors for servers, workstations, personal computers and embedded system applications.",2488,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2485 AUGUSTINE DRIVE, SANTA CLARA, CA, US",December,2021-12-31,138179150000,4055000000,33.04,1.122,6.21,0,0,2.57,13.55,0.192,0.222,0.213,0.474,16434000000,7929000000,2.57,-0.454,0.488,145.88,33.04,21.74,8.41,19.13,8.55,33.72,1.805,164.46,72.5,107.69,117.76,1627360000,None,1995-04-27
AMKR,Common Stock,Amkor Technology Inc,"Amkor Technology, Inc. provides outsourced semiconductor packaging and testing services in the United States, Japan, Europe, the Middle East, Africa, and the rest of Asia Pacific. The company is headquartered in Tempe, Arizona.",1047127,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2045 EAST INNOVATION CIRCLE, TEMPE, AZ, US",December,2021-12-31,4621341000,1330520000,7.04,1.87,12.04,0.17,0.0108,2.62,25.17,0.105,0.125,0.0867,0.242,6138329000,1225554000,2.62,0.683,0.258,21.5,7.04,6.86,0.753,1.601,0.806,3.722,1.508,29.37,17.9,21.51,23.49,244774000,2022-03-21,2022-02-28
AMPL,Common Stock,Amplitude Inc. Class A Common Stock,None,1866692,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"201 THIRD STREET, SUITE 200, SAN FRANCISCO, CA, US",December,2021-12-31,1953778000,None,None,None,2.785,0,0,-1.46,3.257,-0.448,-0.443,-0.161,-0.351,167261000,115497000,-1.46,0,0.643,35,-,-,11.68,6.76,10.55,-,None,87.98,15.17,19.88,43.71,59028000,None,None
AMST,Common Stock,Amesite Inc,"Amesite Inc., an artificial intelligence-powered platform and course designer, offers products and services online in the United States. The company is headquartered in Detroit, Michigan.",1807166,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"205 EAST WASHINGTON STREET, SUITE B, ANN ARBOR, MI, US",June,2021-12-31,16988200,None,None,None,0.42,0,0,-0.422,0.037,0,-11.33,-0.425,-0.727,787520,674580,-0.422,0,0.771,7,-,-,21.57,1.842,11.74,-,None,4.5,0.413,0.604,1.307,25739700,None,None
AMSWA,Common Stock,American Software Inc,"American Software, Inc. develops, markets and supports a variety of business application software products and services in the United States and internationally. The company is headquartered in Atlanta, Georgia.",713425,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"470 EAST PACES FERRY ROAD, N.E., ATLANTA, GA, UNITED STATES",April,2022-01-31,579875000,10523000,48,2.19,3.902,0.44,0.024,0.36,3.663,0.101,0.0791,0.034,0.0975,121470000,60980000,0.36,0.254,0.171,29.33,48,-,4.774,4.705,4.134,36.0,0.731,32.98,17.22,20.37,23.57,31736100,2022-05-20,2022-05-05
AMWL,Common Stock,American Well Corporation,"American Well Corporation is a telehealth business enabling digital healthcare delivery. The company is headquartered in Boston, Massachusetts.",1393584,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","75 STATE STREET, 26TH FLOOR, BOSTON, MA, US",December,2021-12-31,913704000,None,None,None,4.732,0,0,-0.694,0.995,-0.698,-0.739,-0.0827,-0.141,252789000,104315000,-0.694,0,0.204,5.71,-,-,3.615,0.71,0.592,-,None,16.15,3.02,3.837,7.08,230369000,None,None
